,#iteration,L1 norm of errors(log) on nodes,L2 norm of errors(log) on nodes,planning time,execution time
0,1,22.660171316185554,162.0267053149828,85.329,20350.839
1,2,14.149071086867774,46.282488518411185,228.353,48450.947
2,3,10.603645826184401,19.182337941236987,226.0,20229.066
3,4,2.4264141702744224,3.187048918455337,213.583,31955.705
4,5,9.893670873343188,29.35564820334831,207.165,20128.112
5,6,11.510307299063038,23.562156872406476,196.706,21143.919
6,7,4.957944986983913,5.339990371237929,206.425,20269.176
7,8,4.64430484315498,5.808682503018033,215.905,20500.905
8,9,7.078808061229891,13.208479539650222,200.101,20138.111
9,10,3.880549571115635,2.9308102871876986,208.186,20085.781
10,11,4.873261265252824,5.574090471231622,213.531,20090.53
11,12,3.071446662141967,2.059791592731691,193.864,20305.698
12,13,10.48549533660727,20.46172661930475,200.176,20188.878
13,14,4.741911348504639,3.9615295481253976,205.809,20484.474
14,15,7.928424409658306,12.533650216650171,205.732,20335.851
15,16,4.97363692835052,3.68065302625273,220.604,20298.655
16,17,6.433982959743188,8.996057780397251,204.948,20089.204
17,18,4.6378422021723225,3.072746501996729,200.812,20175.722
18,19,2.3896596560545786,0.9438739466053652,210.603,20213.939
19,20,5.920100489267077,7.743137466971574,214.859,19852.371
20,21,3.6625774494052967,2.234621159267002,209.874,20227.539
21,22,2.3071049093745204,0.8788630034317824,196.532,19975.841
22,23,1.8973292334515168,0.6286612629620053,205.192,19955.522
23,24,1.6835148422409256,0.517669046153099,199.42,19980.122
24,25,1.597253206560591,0.4586365650262967,192.977,19974.718
25,26,1.5899878836729338,0.43189492237658234,197.54,19751.067
26,27,1.595159097523613,0.4211427489436743,206.538,20879.43
27,28,1.6193819287630262,0.4243018527049643,214.634,20597.718
28,29,1.6513234192506285,0.43411209996965316,197.841,19829.562
29,30,1.687013003328306,0.44728748171150606,199.271,19669.322
30,31,1.7196591216600732,0.4602030857093473,204.396,19937.554
31,32,1.748852461016873,0.47204496748407965,196.287,19662.472
32,33,1.7710581058697716,0.48113521314074775,200.442,19845.627
33,34,1.7877908820339572,0.4878970302038361,205.408,19870.618
34,35,1.799854880243541,0.49264463975512307,199.519,19696.42
35,36,1.8064874013558008,0.4950342969464265,205.982,19610.53
36,37,1.8100403723287473,0.4960669767594366,203.809,20232.938
37,38,1.8121095491587846,0.4965576938669872,208.162,19952.839
38,39,1.8134159075967782,0.4967978284436448,200.269,19730.794
39,40,1.8138280765460593,0.4967102166763732,202.707,20263.978
40,41,1.8134280556705242,0.4963300365438926,192.733,19676.736
41,42,1.8137403943368788,0.4963259103472464,192.678,19956.276
42,43,1.8143354860904575,0.4965025620402185,199.166,20192.136
43,44,1.8151227022421326,0.4968069080007226,207.69,19759.57
44,45,1.8160856522594573,0.49719500796391697,200.471,19943.642
45,46,1.8164882926314805,0.49735570770037046,194.694,20277.474
